"id","catalog_number","description","main_image","additional_description","attributes"
"2207983","CM6050HN","ReelCraft CM6050HN PRESSURE WASH REEL W/O HOSE 3/8 x 50ft 5000psi","product_images/22/07983/CM6050HN_MLX5Qh6.jpg","<div>\n        \n	\n		\n			 <h5>Light Industrial Pressure Wash Hose Reel</h5>\n		\n			 Reelcraft's Series C hose reels are designed for lighter-duty applications that require longer lengths of low pressure air hose. Hand crank with a balanced brass swivel and brass inlet, the Series C is the product of lighter weight components and forward-thinking design. Reels in this family benefit from a tough, corrosion-resistant powder coat paint. All reels feature a drag break to prevent de-spooling when reel is not in use. The Series C is an economical choice for storing and retrieving hose.\n		\n	\n\n        \n            <ul>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n                <li>Low Cost - The simple and effective design allows the economical storage and retrieval of hose.</li>\n                <li>Easy to operate - The rotating handle allows the hose to be retrieved with ease.</li>\n                <li>Reelcraft can configure custom mounts upon request or the customer may choose to supply their own.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>CM6050HN</td>\n			</tr><tr>\n				<th>Series</th><td>C              </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>14        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.730      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>50</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/2 (M)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td>IN</td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>13.25""</td>\n		</tr><tr>\n			<th>B</th><td>14.375""</td>\n		</tr><tr>\n			<th>C</th><td>16.375""</td>\n		</tr><tr>\n			<th>D</th><td>6""</td>\n		</tr><tr>\n			<th>E</th><td>2.5""</td>\n		</tr><tr>\n			<th>F</th><td>3.5""</td>\n		</tr>\n	</table></div>",""
"2207999","SD13035 OVP","ReelCraft SD13035 OVP SERIES SD1000-LOW PROFILE W/HOSE 3/4 x 35ft 250psi","product_images/22/07999/SD14035_OVP.jpg","<div>\n        \n	\n		\n			 <h5>Ultimate Duty Low Profile Reel</h5>\n		\n			 Series SD10000 hose reels are designed to facilitate larger diameter 3/4"" and 1"" hose up to 50 ft. They feature a high quality external drive spring and a heavy gauge all-bolted together frame. This is the most compact reel in its class, making it ideal for mounting in truck cabinets or other areas where space is limited.\n		\n	\n\n        \n            <ul>\n                <li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance.</li>\n                <li>Containerized external drive spring is easily and safely serviced.</li>\n                <li>Ductile iron fluid path is strong and reliable.</li>\n                <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n		<tr>\n			<th>Part Number</th><td>SD13035 OVP                   </td>\n		</tr><tr>\n			<th>Series</th><td>SD             </td>\n		</tr><tr>\n			<th>Weight (lbs)</th><td>95        </td>\n		</tr><tr>\n			<th>Hose I.D. (in)</th><td>3/4""</td>\n		</tr><tr>\n			<th>Hose O.D. (in)</th><td>1.260     </td>\n		</tr><tr>\n			<th>Hose Length (ft)</th><td>35</td>\n		</tr><tr>\n			<th>Pressure (psi)</th><td>0</td>\n		</tr><tr>\n			<th>Outlet (in)</th><td>3/4 (M)NPTF</td>\n		</tr><tr>\n			<th>Inlet (in)</th><td>1 (F)NPTF</td>\n		</tr><tr>\n			<th>Hose Included</th><td>yes</td>\n		</tr><tr>\n			<th>Max Temperature (°F)</th><td>210       </td>\n		</tr><tr>\n			<th>Warehouse</th><td> </td>\n		</tr>\n	</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>18.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.125""</td>\n		</tr><tr>\n			<th>C</th><td>14""</td>\n		</tr><tr>\n			<th>D</th><td>11.25""</td>\n		</tr><tr>\n			<th>E</th><td>18.75""</td>\n		</tr><tr>\n			<th>F</th><td>8""</td>\n		</tr>\n	</table></div>",""
"2208003","SD14000 OLP","ReelCraft SD14000 OLP SERIES SD1000-LOW PROFILE W/OUT HOS 1in. x 35ft 300psi","product_images/22/08003/SD14000_OVP.jpg","<div>\n        \n	\n		\n			 <h5>Ultimate Duty Low Profile Reel</h5>\n		\n			 Series SD10000 hose reels are designed to facilitate larger diameter 3/4"" and 1"" hose up to 50 ft. They feature a high quality external drive spring and a heavy gauge all-bolted together frame. This is the most compact reel in its class, making it ideal for mounting in truck cabinets or other areas where space is limited.\n		\n	\n\n        \n            <ul>\n                <li>Robust Roller Guides - High impact UHMW composite roller guides have outstanding wear and corrosion resistance.</li>\n                <li>Containerized external drive spring is easily and safely serviced.</li>\n                <li>Ductile iron fluid path is strong and reliable.</li>\n                <li>Oversized cast aluminum latch and ratchet combined with a stainless steel latch spring offer the longest possible life.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>SD14000 OLP                   </td>\n			</tr><tr>\n				<th>Series</th><td>SD             </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>85        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>1.375     </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>500</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>18.25""</td>\n		</tr><tr>\n			<th>B</th><td>19.125""</td>\n		</tr><tr>\n			<th>C</th><td>14""</td>\n		</tr><tr>\n			<th>D</th><td>11.25""</td>\n		</tr><tr>\n			<th>E</th><td>18.75""</td>\n		</tr><tr>\n			<th>F</th><td>8""</td>\n		</tr>\n	</table></div>",""
"2208011","UR7830 OLB70","ReelCraft UR7830 OLB70 DEF DISPENSING HOSE REEL W/HOSE 1/2 x 50ft 300psi","product_images/22/08011/7850_OHP.jpg","<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Heavy Duty - Steel stampings are engineered with structural forms to give added strength and rigidity.</li>\n                <li>Ease of Maintenance - Open design allows for access to any wear items, guide arm and bumper stop are adjustable using only standard tools.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>UR7830 OLB70</td>\n				</tr><tr>\n					<th>Series</th><td>7000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>49        </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>1/2""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>.844      </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>30</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>300</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td>1/2 (M)BSPP</td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>1/2 (F)BSPP</td>\n				</tr><tr>\n					<th>Hose Included</th><td>yes</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>20.25""</td>\n			</tr><tr>\n				<th>B</th><td>19.75""</td>\n			</tr><tr>\n				<th>C</th><td>7.8125""</td>\n			</tr><tr>\n				<th>D</th><td>3.875""</td>\n			</tr><tr>\n				<th>E</th><td>7""</td>\n			</tr>\n		</table></div>",""
"2208015","URD9350 OLBBW70","ReelCraft URD9350 OLBBW70 DEF DISPENSING HOSE REEL W/HOSE 3/4 x 50ft 250psi","product_images/22/08015/FD9350_OLPBW.jpg","<div>\n        \n        \n		\n			\n				 <h5>Spring Retractable DEF Hose Reel</h5>\n			\n				 Reelcraft introduces its DEF Dispensing line of spring retractable hose reels. Designed to aide in the dispensing of Diesel Emissions Fluid (DEF) for late model diesel engines, these reels are an integral part in emerging DEF service stations in marinas, truck stops and garages. This sort of dispensing equipment is going to become more prevalent across the United States as the push for greener emissions standards escalates. Reelcraft is offering a solution.\n			\n		\n	\n        \n            <ul>\n                <li>Corrosion Resistance - Internal fluid path parts are made from 304L grade stainless steel and features Viton o-rings. Carbon steel parts receive a uniform polyester powder coat prior to assembly.</li>\n                <li>Convenience - Reels keep longer lengths of hose in an organized manor and make it easier to access hard to reach fuel tanks.</li>\n                <li>Integration - We offer National Pipe Thread fittings as well as British Parallel to ensure that the reel will integrate with other components of your DEF system.</li>\n                <li>Extended Hose Life - Reel stores expensive hose up and out of harms way greatly extending the service life of hose.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n				<tr>\n					<th>Part Number</th><td>URD9350 OLBBW70</td>\n				</tr><tr>\n					<th>Series</th><td>9000</td>\n				</tr><tr>\n					<th>Weight (lbs)</th><td>152       </td>\n				</tr><tr>\n					<th>Hose I.D. (in)</th><td>3/4""</td>\n				</tr><tr>\n					<th>Hose O.D. (in)</th><td>          </td>\n				</tr><tr>\n					<th>Hose Length (ft)</th><td>50</td>\n				</tr><tr>\n					<th>Pressure (psi)</th><td>300</td>\n				</tr><tr>\n					<th>Outlet (in)</th><td>3/4 (M)BSPP</td>\n				</tr><tr>\n					<th>Inlet (in)</th><td>3/4 (F)BSPP</td>\n				</tr><tr>\n					<th>Hose Included</th><td>yes</td>\n				</tr><tr>\n					<th>Max Temperature (°F)</th><td>150       </td>\n				</tr><tr>\n					<th>Warehouse</th><td> </td>\n				</tr>\n			</table><table class=""description-table"">\n			<tr>\n				<th>A</th><td>26.375""</td>\n			</tr><tr>\n				<th>B</th><td>26.25""</td>\n			</tr><tr>\n				<th>C</th><td>22.25""</td>\n			</tr><tr>\n				<th>D</th><td>7.75""</td>\n			</tr><tr>\n				<th>E</th><td>12""</td>\n			</tr><tr>\n				<th>F</th><td>24.125""</td>\n			</tr><tr>\n				<th>G</th><td>4.75""</td>\n			</tr>\n		</table></div>",""
"2208023","5400 OHP","ReelCraft 5400 OHP SERIES 5000 OPEN WITHOUT HOSE & BUMPER","product_images/22/08023/hwxZBLv.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5000 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5400 OHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>23        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.580      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>30</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>14.375""</td>\n		</tr><tr>\n			<th>B</th><td>14""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>6.125""</td>\n		</tr>\n	</table></div>",""
"2208027","5435 OMP","ReelCraft 5435 OMP SERIES 5000 OPEN W/HOSE 1/4 X 35ft 2750psi","product_images/22/08027/2qgeImu.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5000 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5435 OMP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>31        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.530      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>35</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>2750</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td>1/4 (M)NPTF</td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>yes</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>14.375""</td>\n		</tr><tr>\n			<th>B</th><td>14""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>6.125""</td>\n		</tr>\n	</table></div>",""
"2208031","5600 OMP","ReelCraft 5600 OMP SERIES 5000 OPEN WITHOUT HOSE & BUMPER","product_images/22/08031/k3Pg06B.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Spring Retractable Hose Reel</h5>\n		\n			 Series 5000 reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5600 OMP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>24        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.690      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>30</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>3000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>14.375""</td>\n		</tr><tr>\n			<th>B</th><td>14""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>6.125""</td>\n		</tr>\n	</table></div>",""
"2208039","5400 EHP","ReelCraft 5400 EHP SERIES 5000 ENCLOSED WITHOUT HOSE & BUMPER","product_images/22/08039/Gjc1bbG.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Enclosed Hose Reel</h5>\n		\n			 Series 5000 enclosed reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5400 EHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>31        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.580      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>30</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/4 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>15""</td>\n		</tr><tr>\n			<th>B</th><td>16.25""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>7""</td>\n		</tr>\n	</table></div>",""
"2208043","5600 ELP","ReelCraft 5600 ELP SERIES 5000 ENCLOSED WITHOUT HOSE & BUMPER","product_images/22/08043/MRs6z00.png","<div>\n        \n	\n		\n			 <h5>Premium Duty Enclosed Hose Reel</h5>\n		\n			 Series 5000 enclosed reels are durable and compact for a wide range of applications with critical space requirements. A full flow shaft and swivel assures maximum product delivery.\n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The robotically welded steel base offers maximum strength and consistent quality. All steel components are powder coated for maximum corrosion resistance.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quite Speed Latch - The latch cam is designed for reliable quiet operation.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>5600 ELP                      </td>\n			</tr><tr>\n				<th>Series</th><td>5000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>29        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>3/8""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.600      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>50</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>300</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>3/8 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>150       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>15""</td>\n		</tr><tr>\n			<th>B</th><td>16.25""</td>\n		</tr><tr>\n			<th>C</th><td>9.75""</td>\n		</tr><tr>\n			<th>D</th><td>2.5""</td>\n		</tr><tr>\n			<th>E</th><td>7""</td>\n		</tr>\n	</table></div>",""
"2208047","5635 ELP","ReelCraft 5635 ELP SERIES 5000 ENCLOSED W/HOSE 3/8 X 35ft 300psi","product_images/22/08047/5435_ELP_mM7igPg.jpg","<div>&nbsp;</div>\r\n\r\n<p>Reelcraft 5635</p>\r\n\r\n<p>Collection<em> 5000 &nbsp;enclosed reels are </em>tough<em> and compact </em>to get a big selection<em> of </em>purposes<em> with </em>significant area specifications<em>. </em>An entire stream<em> shaft and swivel assures </em>greatest product or service shipping<em>.</em><br />\r\nStrengthened Metal<em> - The robotically welded </em>metal foundation presents greatest power<em> and </em>reliable excellent<em>. All </em>metal elements<em> are powder coated </em>for max<em> corrosion resistance.</em><br />\r\n&nbsp;</p>\r\n\r\n<p>Entire Stream Strain Free of charge<em> Swivel </em>style<em> - </em>The complete move<em> swivel </em>brings together the best quality<em> seal </em>style<em> and </em>resources<em> with bearing </em>locations<em> to insure </em>optimum company everyday living<em>. The hose is plumbed </em>into your foundation<em> to </em>eradicate the potential risk of<em> undue </em>pressure over the<em> swivel.</em><br />\r\n&nbsp;</p>\r\n\r\n<p>Lengthy Lifetime Push<em> Spring - Declutching arbor </em>practically removes chance<em> of spring </em>injury resulting from<em> reverse winding. </em>Just the maximum high-quality<em> spring </em>metal<em> is </em>utilised<em> and conditioned to insure </em>there aren&#39;t any<em> imperfections </em>supplying most provider lifestyle<em>.</em><br />\r\n&nbsp;</p>\r\n\r\n<p>Rather Velocity<em> Latch - The latch cam is </em>intended<em> for </em>reputable tranquil procedure<em>.</em></p>\r\n\r\n<p>&nbsp;</p>\r\n",""
"2208063","7400 EHP","ReelCraft 7400 EHP SERIES 7000 ENCLOSED WITHOUT HOSE & BUMPER","product_images/22/08063/7650_ELP_hmnLDvl.jpg","<div>\n        \n	\n		\n			 <h5>Heavy Duty Enclosed Spring Retractable Hose Reel</h5>\n		\n			 Reelcraft's Series 7000 is very robust and ideal for the most demanding applications. The reel’s base and guide arm are formed from high-grade steel and engineered with structural forms and gussets to yield the greatest amount of strength. The standard low pressure hose is for air or water service only. The basic reel without hose can be used for air, water or oil. Consult Reelcraft for other products and hoses. Guide arm adjusts to 3 positions.                                                   \n		\n	\n\n        \n            <ul>\n                <li>Reinforced Steel - The steel guide arm and base are stamped with ribs and gussets to insure maximum strength and lightest possible weight.</li>\n                <li>Full Flow Stress Free Swivel design - The full flow swivel combines the highest grade seal design and materials with bearing areas to insure maximum service life. The hose is plumbed into the base to eliminate the risk of undue stress on the swivel.</li>\n                <li>Long Life Drive Spring - Declutching arbor virtually eliminates possibility of spring damage due to reverse winding.  Only the highest quality spring steel is used and conditioned to insure there are no imperfections offering maximum service life.</li>\n                <li>Quality Finish and Corrosions Resistant - Individually powder coated components offer the maximum protection from premature corrosion.</li>\n            </ul>\n            \n    </div><h5>Specifications</h5><div><table class=""description-table"">\n			<tr>\n				<th>Part Number</th><td>7400 EHP                      </td>\n			</tr><tr>\n				<th>Series</th><td>7000           </td>\n			</tr><tr>\n				<th>Weight (lbs)</th><td>60        </td>\n			</tr><tr>\n				<th>Hose I.D. (in)</th><td>1/4""</td>\n			</tr><tr>\n				<th>Hose O.D. (in)</th><td>.580      </td>\n			</tr><tr>\n				<th>Hose Length (ft)</th><td>50</td>\n			</tr><tr>\n				<th>Pressure (psi)</th><td>5000</td>\n			</tr><tr>\n				<th>Outlet (in)</th><td> </td>\n			</tr><tr>\n				<th>Inlet (in)</th><td>1/2 (F)NPTF</td>\n			</tr><tr>\n				<th>Hose Included</th><td>no</td>\n			</tr><tr>\n				<th>Max Temperature (°F)</th><td>210       </td>\n			</tr><tr>\n				<th>Warehouse</th><td> </td>\n			</tr>\n		</table><table class=""description-table"">\n		<tr>\n			<th>A</th><td>20.875""</td>\n		</tr><tr>\n			<th>B</th><td>21.125""</td>\n		</tr><tr>\n			<th>C</th><td>7.8125""</td>\n		</tr><tr>\n			<th>D</th><td>3.875""</td>\n		</tr><tr>\n			<th>E</th><td>7.625""</td>\n		</tr>\n	</table></div>",""
