additional_description,description,ids,item_code,ordering_number
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Bucket</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Bucket</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20061 140VPB FASTENERS,156532,20061,140VPB
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Bucket</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >Bucket</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20059 190VPB FASTENERS,156530,20059,190VPB
"<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates, MegAlloy Bottom</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates, MegAlloy Bottom</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>",Flexco 20081 140VPMA FASTENERS,156534,20081,140VPMA
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20057 140VP FASTENERS,156528,20057,140VP
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-13/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >440 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-13/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >440 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20058 2VP FASTENERS,156529,20058,2VP
"<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates, MegAlloy Bottom</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates, MegAlloy Bottom</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>",Flexco 20060 190VPMA FASTENERS,156531,20060,190VPMA
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >Yes</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >5/16-9/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >330 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Rubber Covered Top Plates - Balanced Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20056 190VP FASTENERS,156527,20056,190VP
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >620 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >620 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20040 2-1/4ES FASTENERS,156524,20040,2-1/4ES
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-13/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >440 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-13/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >30 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >440 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20039 2ES FASTENERS,156523,20039,2ES
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >7/16-11/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >300 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >7/16-11/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >18 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >300 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20038 1-1/2ES FASTENERS,156522,20038,1-1/2ES
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >15/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >560 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >15/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >48 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >560 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20020 3C FASTENERS,156517,20020,3C
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >E Box - 25 Complete Fastener Sets</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >14 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >225 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Stainless - 300 Series</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20034 140ES FASTENERS,156520,20034,140ES
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/4-1 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >450 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/4-1 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >42 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >450 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20019 2-1/2C FASTENERS,156516,20019,2-1/2C
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >620 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >9/16-1 3/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >36 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >620 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20018 2-1/4C FASTENERS,156515,20018,2-1/4C
<table> <tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Market</span> </td> <td> <span >Heavy Duty</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Package</span> </td> <td> <span >C Bucket - 100 Fastener Sets - Bottom Plates are Pre-Assembled</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Product Family</span> </td> <td> <span >Flexco<sup>®</sup> Bolt Solid Plate System</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Rubber Covered</span> </td> <td> <span >No</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >12 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >150 PIW</span> </td> </tr><tr> <td > <span >Belt Thickness after Skiving</span> </td> <td> <span >3/16-7/16 ''</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Minimum Pulley Diameter</span> </td> <td> <span >12 ''</span> </td> </tr><tr> <td > <span >Belt Manufacturer Maximum PIW (kN/m) Rating</span> </td> <td> <span >150 PIW</span> </td> </tr><tr> <td > <span >Material</span> </td> <td> <span >Steel</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td> </tr><tr> <td > <span >Brand</span> </td> <td> <span >Flexco</span> </td></tr></table>,Flexco 20014 1C FASTENERS,156512,20014,1C
