attributes,main_image,id,additional_description,catalog_number
"Base Code:7140|Color:Pink|Length:15.4 in.|Width:3.5 in.|Height:3.5 in.|Weight:0.54 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/73709/71401_1.jpg,2073709,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.57</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71401
Replaces Product Code:70804|Base Code:7752|Color:Red|Length:15.75 in.|Width:3.5 in.|Height:4.25 in.|Weight:0.53 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73469/77524_1.jpg,2073469,"<p><br>This double blade squeegee provides effective removal of both water and food debris from all types of flooring. The cassette is detached easily for cleaning or replacement. Replacement squeegee blades 77725 and 77729.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Foam Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",77524
Base Code:4180|Color:Red|Length:16.30 in.|Width:2.50 in.|Height:3.10 in.|Weight:0.53 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73091/41804_1.jpg,2073091,"<p><br>This long handled scrub brush allows you to reach into hard to access parts of equipment. Polyester bristles are affixed to a solid polypropylene block with resin. </p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>11.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.6</td>\n																\n															</tr>\n                        \n														</table>",41804
Base Code:4587|Color:Green|Length:13.00 in.|Width:1.30 in.|Height:3.30 in.|Weight:0.38 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73676/45872_1.jpg,2073676,"<p><br>This is a dusting brush with a smooth, ergonomically designed handle. The soft bristles are designed for brushing dry, fine particles, such as dust, flour, icing sugar. It is also used as a dustpan brush on floors.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>1.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>14</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>2.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Length (inches):</th>\n                              <td>2</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Type:</th>\n                              <td>Soft</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.4</td>\n																\n															</tr>\n                        \n														</table>",45872
Base Code:4192|Color:Orange|Length:9.80 in.|Width:2.60 in.|Height:2.60 in.|Weight:0.44 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73644/41927_1.jpg,2073644,"<p><br>This fully color-coded, short-handled, wash brush has a comfortable grip allowing you to work for long periods of time without hand fatigue. The stiff bristles are great for washing all types of equipment, tables and walls. You can use the brush holding both the handle and the brush head to give you better control.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>2.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",41927
Base Code:2958|Thread:Hygienic (Euro)|Color:Orange|Length:49.6 in.|Width:1 in.|Weight:0.65 lbs.|Material:Aluminum|Additional Material: Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72804/29587_1.jpg,2072804,"<p><br>This standard broom handle can be used with all brooms, squeegees and scrapers. The handle with the attached item should reach to the chin of the user to prevent occupational back injuries.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>49.61</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Handle Diameter (inches):</th>\n                              <td>0.98</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Aluminum</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.53</td>\n																\n															</tr>\n                        \n														</table>",29587
Base Code:5688|Capacity1.5 Gallons|Color:Pink|Length:10 in.|Width:9.6 in.|Height:7.1 in.|Weight:1.2 lbs.|Material:Polypropylene|Additional Material: Stainless Steel|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73717/56881_1.jpg,2073717,"<p><br>This is a durable 1.5 gallon pail that is suitable for cleaning or storage of ingredients and food stuff and is calibrated for a variety of measuring units. The pail has a wide drip-free spout, sturdy stainless steel hanger, hand grip at the bottom that is raised</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>9.69</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10.12</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>10.04</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Other Material:</th>\n                              <td>Stainless Steel </td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1.2</td>\n																\n															</tr>\n                        \n														</table>",56881
Base Code:7775|Color:White|Length:27.6 in.|Width:1 in.|Height:1.6 in.|Weight:0.3 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,http://products.remcoproducts.com/images/products/77755_M.jpg,2073505,Replacement cassette with foam rubber squeegee blades for squeegee model 7755.,77755
Base Code:7037|Color:Orange|Length:7.9 in.|Width:4.9 in.|Height:3.75 in.|Weight:1 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72936/70377_1.jpg,2072936,"<p><br>The oval-shaped brush with stiff bristles is effective for scrubbing inside large industrial tanks and other large container-like equipment. The rounded edges work well to clean down the sides of equipment. It also fits well into large channel drains.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>5.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>8</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>1</td>\n																\n															</tr>\n                        \n														</table>",70377
Base Code:7013|Thread:Hygienic (Euro)|Color:Red|Length:8.7 in.|Width:4.3 in.|Height:1 in.|Weight:0.26 lbs.|Material:Polyethylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72948/70134_1.jpg,2072948,"<p><br />\r\nThis scraping blade is used to remove remaining food stuff from containers prior to the cleaning procedure. It is flexible and is used as a spatula for large or medium sized containers. Requires a European-thread handle.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>4.5</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Height (inches):</th>\r\n			<td>6</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Polyethylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>.28</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",70134
Base Code:6961|Color:Red|Length:0.1 in.|Width:3 in.|Height:8.1 in.|Weight:0.09 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73248/69614_1.jpg,2073248,"<p><br>This color-coded small hand scraper is an excellent solution to your bench top scraping needs. It has no seams or cracks, which helps prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>8</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",69614
Base Code:4192|Color:Blue|Length:9.80 in.|Width:2.60 in.|Height:2.60 in.|Weight:0.44 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73640/41923_1.jpg,2073640,"<p><br>This fully color-coded, short-handled, wash brush has a comfortable grip allowing you to work for long periods of time without hand fatigue. The stiff bristles are great for washing all types of equipment, tables and walls. You can use the brush holding both the handle and the brush head to give you better control.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>2.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",41923
Base Code:552|Color:Blue|Length:10 in.|Width:4.4 in.|Height:1 in.|Weight:0.09 lbs.|Material:Polyester Fibers|FDA Compliant Material:No|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,http://products.remcoproducts.com/images/products/5524_M.jpg,2072783,This medium pad is great for cleaning stubborn dirt and grime on walls.,5524
Base Code:7773|Color:White|Length:17.7 in.|Width:0.8 in.|Height:1.7 in.|Weight:0.2 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,http://products.remcoproducts.com/images/products/77735_M.jpg,2073501,Replacement cassette with foam rubber squeegee blades for squeegee model 7753.,77735
Base Code:7716|Color:Blue|Length:15.6 in.|Width:4.7 in.|Height:3.1 in.|Weight:0.6 lbs.|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72787/77163_1.jpg,2072787,"<p><br>Squeegee with drain holes for effective removal of condensation from ceilings and pipes. Collection of condensation prevents moisture from dripping into food product or on costly machinery.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>SEBS Polymer</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.7</td>\n																\n															</tr>\n                        \n														</table>",77163
"Replaces Product Code:70706|Base Code:7140|Color:Yellow|Length:15.4 in.|Width:3.5 in.|Height:3.5 in.|Weight:0.54 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/73713/71406_1.jpg,2073713,"<p><br>Vikan's one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber  blade is ideal for removing water or food debris from floors and food contact surfaces.  Hygiene squeegees are a good foundation for any HACCP or food safety program.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>3.54</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene, Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Blade Material:</th>\n                              <td>Rubber</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>0.57</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Autoclavable:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Country of Origin:</th>\n                              <td>Denmark</td>\n																\n															</tr>\n                        \n														</table>",71406
Base Code:6961|Color:White|Length:0.1 in.|Width:3 in.|Height:8.1 in.|Weight:0.09 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/72751/69615_1.jpg,2072751,"<p><br>This color-coded small hand scraper is an excellent solution to your bench top scraping needs. It has no seams or cracks, which helps prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>3</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>8</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.1</td>\n																\n															</tr>\n                        \n														</table>",69615
Base Code:6775|Color:Red|Length:39.75 in.|Width:5.9 in.|Height:1.4 in.|Weight:2.19 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73231/67754_1.jpg,2073231,"<p><br>This two-in-one tool is handy for both mixing and scraping, and is great for a variety of applications such as soup, confectionery, dough, and sauce manufacturing as well as many other food processing or other mixing tasks. One-piece construction and the unique long-handle design make it easy to use for many jobs. Plastic is a lightweight alternative to metal mixing paddle scrapers, and will reduce fatigue for the user.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>40</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>2.3</td>\n																\n															</tr>\n                        \n														</table>",67754
"Base Code:7125|Color:Blue|Length:9.4 in.|Width:3.5 in.|Height:3.4 in.|Weight:0.45 lbs.|Material:Polypropylene, Rubber|Block Material: Polypropylene|Blade Material: Rubber|FDA Compliant Material:Yes|Working Temp:-4° F/-20° C|Autoclavable To:250° F/121° C|Brand:Vikan",product_images/20/72815/71253_1.jpg,2072815,"<p><br />\r\nVikan&#39;s one-piece, single-blade squeegee has an ultra-hygienic design that minimizes areas for water and food soils to collect.This seamless, one-piece construction is especially effective in areas requiring the highest level of hygiene.The soft and flexible rubber blade is ideal for removing water or food debris from floors and food contact surfaces. Hygiene squeegees are a good foundation for any HACCP or food safety program.</p>\r\n\r\n<h5>Specifications</h5>\r\n\r\n<table class=""description-table"">\r\n	<tbody>\r\n		<tr>\r\n			<th>Width (inches):</th>\r\n			<td>3.54</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Length (inches):</th>\r\n			<td>9.84</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Height (inches):</th>\r\n			<td>3.54</td>\r\n		</tr>\r\n		<tr>\r\n			<th>FDA Compliant Raw Material:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Material:</th>\r\n			<td>Polypropylene, Rubber</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Block Material:</th>\r\n			<td>Polypropylene</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Blade Material:</th>\r\n			<td>Rubber</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Unit Weight (lbs.):</th>\r\n			<td>0.45</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Autoclavable:</th>\r\n			<td>Yes</td>\r\n		</tr>\r\n		<tr>\r\n			<th>Country of Origin:</th>\r\n			<td>Denmark</td>\r\n		</tr>\r\n	</tbody>\r\n</table>",71253
Base Code:297|Thread:Hygienic (Euro)|Color:Gray|Length:74-237 in.|Width:1.3 in.|Weight:4.04 lbs.|Material:Fiberglass|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72779/2977_1.jpg,2072779,"<p><br>This extension pole reaches lengths of 18'5"".</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>221</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Fiberglass</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>5.5</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Color:</th>\n                              <td>Gray</td>\n																\n															</tr>\n                        \n														</table>",2977
Base Code:4587|Color:Blue|Length:13.00 in.|Width:1.30 in.|Height:3.30 in.|Weight:0.38 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/73677/45873_1.jpg,2073677,"<p><br>This is a dusting brush with a smooth, ergonomically designed handle. The soft bristles are designed for brushing dry, fine particles, such as dust, flour, icing sugar. It is also used as a dustpan brush on floors.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Width (inches):</th>\n                              <td>1.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>14</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Height (inches):</th>\n                              <td>2.6</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Length (inches):</th>\n                              <td>2</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Type:</th>\n                              <td>Soft</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.4</td>\n																\n															</tr>\n                        \n														</table>",45873
Base Code:2911|Thread:Hygienic (Euro)|Color:Red|Length:10.25 in.|Width:1 in.|Height:6.9 in.|Weight:0.65 lbs.|Material:Nylon|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73581/29114_1.jpg,2073581,"<p><br>Floor scraper with heavy-duty nylon blade that won't damage floors or machines.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>10</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Nylon</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",29114
Base Code:6500|Capacity82 oz.|Color:Blue|Length:15.1 in.|Width:5.9 in.|Height:3.3 in.|Weight:0.65 lbs.|Material:Polypropylene|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Remco,product_images/20/73223/65003_1.jpg,2073223,"<p><br>This fully color-coded large scoop is great for handling bulk materials. Its solid construction makes it extremely durable. It has no seams or cracks to help prevent bacterial growth.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.8</td>\n																\n															</tr>\n                        \n														</table>",65003
Base Code:4186|Color:Pink|Length:15.40 in.|Width:2.75 in.|Height:2.80 in.|Weight:0.53 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessStiff|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72827/41861_1.jpg,2072827,"<p><br>The long handled wash brush allows you to reach into parts of equipment that are hard to access. The angled bristles are stiff, helping to scrub at a distance.</p><h5>Specifications</h5><table class=""description-table"">\n                        \n															<tr>\n																\n                              <th>Length (inches):</th>\n                              <td>15.75</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>FDA Compliant Raw Material:</th>\n                              <td>Yes</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Block Material:</th>\n                              <td>Polypropylene</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Bristle Material:</th>\n                              <td>Polyester</td>\n																\n															</tr>\n                        \n															<tr>\n																\n                              <th>Unit Weight (lbs.):</th>\n                              <td>.5</td>\n																\n															</tr>\n                        \n														</table>",41861
Base Code:4587|Color:Purple|Length:13.00 in.|Width:1.30 in.|Height:3.30 in.|Weight:0.38 lbs.|Block Material:Polypropylene|Bristle Material:Polyester|Bristle StiffnessSoft|FDA Compliant Material:Yes|Working Temp:-22° F/-30° C to 176° F/80° C|Autoclavable To:250° F/121° C|Brand:Vikan,product_images/20/72923/45878_1.jpg,2072923,"This is a dusting brush with a smooth, ergonomically designed handle. The soft bristles are designed for brushing dry, fine particles, such as dust, flour, icing sugar. It is also used as a dustpan brush on floors.",45878
