id,catalog_number,description,main_image
2071578,FSH-9682-000NS,"DIXON FSH-9682-000NS \2.5\""\""x10SUCT HOSE FxM NSZ1 LH\""""",
2071577,FSH-9682-000C,"DIXON FSH-9682-000C \2.5\""\""x10SUCT.HOSE FxM CSA LH\""""",
2071576,FSH-9682-000B,"DIXON FSH-9682-000B \2.5\""\""x10SUCT.HOSE FxM BAT LH\""""",
2071575,FSH-9682-000,"DIXON FSH-9682-000 2-1/2\ X 10 PVC SUCTION HOSE CPLD FNST L/H X MNST AL""",
2071574,FSH-9645-60F,"DIXON FSH-9645-60F 6\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071573,FSH-9645-50F,"DIXON FSH-9645-50F 5\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071572,FSH-9645-45F,"DIXON FSH-9645-45F 4.5\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071571,FSH-9645-40F,"DIXON FSH-9645-40F 4\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071570,FSH-9645-30F,"DIXON FSH-9645-30F 3\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071569,FSH-9645-25F,"DIXON FSH-9645-25F 2.5\FNST Swiv x shank; Al Hard Coat rocker Lug""",
2071568,FSH-9644-60F,"DIXON FSH-9644-60F 6\FNST Swiv x shank; Al Hard Coat long handle""",
2071567,FSH-9644-50F,"DIXON FSH-9644-50F 5\FNST Swiv x shank; Al Hard Coat long handle""",
2071566,FSH-9644-45F,"DIXON FSH-9644-45F 4.5\FNST Swiv x shank; Al Hard Coat long handle""",
2071565,FSH-9644-40F,"DIXON FSH-9644-40F 4\FNST Swiv x shank; Al Hard Coat long handle""",
2071564,FSH-9644-30F,"DIXON FSH-9644-30F 3\FNST Swiv x shank; Al Hard Coat long handle""",
2071563,FSH-9644-25F,"DIXON FSH-9644-25F 2.5\FNST Swiv x shank; Al Hard Coat long handle""",
2071545,FSGVR30-560F,"DIXON FSGVR30-560F 5\STZ x 30deg 6\""FNST Swivel with relief valve""",
2071544,FSGVR30-550F,"DIXON FSGVR30-550F 5\STZ x 30deg 5\""FNST Swivel with relief valve""",
2071543,FSGVR30-545F,"DIXON FSGVR30-545F 5\STZ x 30deg 4.5\""FNST Swivel with relief valve""",
2071542,FSGVR30-540F,"DIXON FSGVR30-540F 5\STZ x 30deg 4\""FNST Swivel with relief valve""",
2071541,FSGVR30-460F,"DIXON FSGVR30-460F 4\STZ x 30deg 6\""FNST Swivel with relief valve""",
2071540,FSGVR30-450F,"DIXON FSGVR30-450F 4\STZ x 30deg 5\""FNST Swivel with relief valve""",
2071539,FSGVR30-445F,"DIXON FSGVR30-445F 4\STZ x 30deg 4.5\""FNST Swivel with relief valve""",
2071538,FSGVR30-440F,"DIXON FSGVR30-440F 4\STZ x 30deg 4\""FNST Swivel with relief valve""",
2071529,FSGR560F,"DIXON FSGR560F 5\ STORZ X 6\"" FNST SWV ALUM PSTN INTK RV""",
2071528,FSGR550F,"DIXON FSGR550F 5\ STORZ X 5\"" FNST SWIV AL PISTON INTAKE RV""",
2071527,FSGR545F,"DIXON FSGR545F 5\STZ X4.5\""FNH SWV AL PSTN IN RV NULL""",
2071526,FSGR540F,"DIXON FSGR540F 5\STZ X4\""FNH SWV AL PSTN INTK RV NULL""",
2071525,FSGR460F,"DIXON FSGR460F 4\STZ X6\""FNH SWV AL PSTN INTK RV NULL""",
2071524,FSGR450F,"DIXON FSGR450F 4\STZ X5\""FNH SWV AL PSTN INTK RV NULL""",
2071523,FSGR445F,"DIXON FSGR445F 4\STZ X4.5\""FNH SWV AL PSTN IN RV NULL""",
2071522,FSGR440F,"DIXON FSGR440F 4\STZ X4\""FNH SWV AL PSTN INTK RV NULL""",
2071506,FRC4025F-D,"DIXON FRC4025F-D STRAIGHT 4\ FNPT X (2) 2-1/2\"" MNST TWO WAY MALE OUTLET-DOMESTIC""",
2071505,FRC4025-D,"DIXON FRC4025-D STRAIGHT 4\ FNPT X (2) 2 1/2\"" MNPT TWO WAY MALE OUTLET-DOMESTIC""",
2071504,FR3C6025F,"DIXON FR3C6025F 6\ FNPT X (3) 2-1/2\"" MNST THREE WAY OUTLET - CAST BRASS""",
2071503,FR3C6025,"DIXON FR3C6025 6\ FNPT X (3) 2-1/2\"" MNPT THREE WAY OUTLET - CAST BRASS""",
2071502,FR3C4025,"DIXON FR3C4025 4\ FNPT X (3) 2.5\"" MNPT 3-WAY OUTLT CAST BRASS""",
2071489,FMGV60F60F,"DIXON FMGV60F60F 6\MNHX6\""F.SW NH GV STRT NULL""",
2071488,FMGV50F60F,"DIXON FMGV50F60F 5\ MNHX 6\"" F.SW NH GV STRT NULL""",
2071487,FMGV50F50F,"DIXON FMGV50F50F 5\ MNHX 5\"" F.SW NH GV STRT NULL""",
2071486,FMGV50F45F,"DIXON FMGV50F45F 5\ MNHX 4.5\"" F.SW NH GV STRT NULL""",
2071485,FMGV50F40F,"DIXON FMGV50F40F 5\ MNHX 4\"" F.SW NH GV STRT NULL""",
2071484,FMGV45F60F,"DIXON FMGV45F60F 4.5\ MNHX 6\"" F.SW NH GV STRT NULL""",
2071483,FMGV45F50F,"DIXON FMGV45F50F 4.5\ MNHX 5\"" F.SW NH GV STRT NULL""",
2071482,FMGV45F45F,"DIXON FMGV45F45F 4.5\ MNHX 4.5\""F.SW NH GV STRT NULL""",
2071481,FMGV45F40F,"DIXON FMGV45F40F 4.5\ MNHX 4\"" F.SW NH GV STRT NULL""",
2071480,FMGV40F60F,"DIXON FMGV40F60F 4\ MNHX 6\"" F.SW NH GV STRT NULL""",
2071479,FMGV40F50F,"DIXON FMGV40F50F 4\ MNHX 5\"" F.SW NH GV STRT NULL""",
2071478,FMGV40F45F,"DIXON FMGV40F45F 4\ MNHX 4.5\"" F.SW NH GV STRT NULL""",
2071477,FMGV40F40F,"DIXON FMGV40F40F 4\ MNHX 4\"" F.SW NH GV STRT NULL""",
2071463,FMGR60F60F,"DIXON FMGR60F60F 6\MNH x 6\""FNH Al Pstn Intake with relief valve""",
2071462,FMGR50F60F,"DIXON FMGR50F60F 5\MNH x 6\""FNH Al Pstn Intake with relief valve""",
2071461,FMGR50F50F,"DIXON FMGR50F50F 5\MNH x 5\""FNH Al Pstn Intake with relief valve""",
2071460,FMGR50F45F,"DIXON FMGR50F45F 5\MNH x 4.5\""FNH Al Pstn Intake with relief valve""",
2071459,FMGR50F40F,"DIXON FMGR50F40F 5\MNH x 4\""FNH Al Pstn Intake with relief valve""",
2071458,FMGR45F60F,"DIXON FMGR45F60F 4.5\MNH x 6\""FNH Al Pstn Intake with relief valve""",
2071457,FMGR45F50F,"DIXON FMGR45F50F 4.5\MNH x 5\""FNH Al Pstn Intake with relief valve""",
2071456,FMGR45F45F,"DIXON FMGR45F45F 4.5\MNH x 4.5\""FNH Al Pstn Intake with relief valve""",
2071455,FMGR45F40F,"DIXON FMGR45F40F 4.5\MNH x 4\""FNH Al Pstn Intake with relief valve""",
2071454,FMGR40F60F,"DIXON FMGR40F60F 4\MNH x 6\""FNH Al Pstn Intk with relief valve""",
2071453,FMGR40F50F,"DIXON FMGR40F50F 4\MNH x 5\""FNH Al Pstn Intk with relief valve""",
2071452,FMGR40F45F,"DIXON FMGR40F45F 4\MNH x4.5\""FNH Al Pstn Intk with relief valve""",
2071451,FMGR40F40F,"DIXON FMGR40F40F 4\MNH x4\""FNH Al Pstn Intk with relief valve""",
2071445,FMBV25F25F,"DIXON FMBV25F25F NORTHLINE ALUM 2-WAY BALL VLV 2.5\ FNST INLT X (2) 2.5\"" MNST OUT""",
2071444,FMBV25F15F,"DIXON FMBV25F15F 2.5\ FNST SWIV X (2) 1.5\"" MNST ALUM 2-WAY BALL VALVE""",
2071443,FMBV15S15S,"DIXON FMBV15S15S 1-1/2\ FNPSH X (2) 1-1/2\"" MNPSH ALUM 2-WAY BALL VALVE""",
2071442,FMBV15F15F,"DIXON FMBV15F15F 1-1/2\ FNST SWIV x (2)1.5\"" MNST BV""",
2071428,FM25NYFD30T,"DIXON FM25NYFD30T 2.5\ FNYFD X 3\"" MNPT BR HEX NPL""",
2071426,FM25NYFD25T,"DIXON FM25NYFD25T 2.5\ FNYFD X 2.5\"" MNPT BR HEX NIP""",
2071425,FM25NYFD25NYFD,"DIXON FM25NYFD25NYFD 2.5\ FNYFD X 2.5\"" MNYFD BR HEX NIPPLE""",
2071424,FM25NYFD25F,"DIXON FM25NYFD25F 2.5\ FNYFD X 2.5\"" MNST FXM BRASS HEX NIPPLE""",
2071423,FM25NYFD20T,"DIXON FM25NYFD20T 2-1/2\ NYFD F X 2\"" MNPT BRASS ADAPTER""",
2071422,FM25NYFD15T,"DIXON FM25NYFD15T 2-1/2\ FNYFD X 1-1/2\"" MNPT NIPPLE""",
2071421,FM25NYC25T,"DIXON FM25NYC25T 2.5\ FNYC X 2.5\"" MNPT BR HEX NIP""",
2071420,FM25NYC25F,"DIXON FM25NYC25F 2.5\ FNYC X 2.5\"" MNST BR HEX NIP""",
2071418,FM25F25NYFD,"DIXON FM25F25NYFD 2.5\ FNST X 2.5\"" MNYFD BR HEX NIP""",
2071417,FM25F25NYC,"DIXON FM25F25NYC 2 1/2\ FEM NST X 2 1/2\"" M NYC THD""",
2071416,FM25F15T-D,DIXON FM25F15T-D BRASS HEX 2.5 FNST X 1.5 MNPT DOMESTIC,
2071415,FM25F15F-D,DIXON FM25F15F-D BR HEX 2.5 FNST X 1.5 MNST DOMESTIC,
2071414,FM2525T,"DIXON FM2525T 2.5\ FNPT X 2.5\"" MNPT BRASS HEX NIP""",
2071413,FM2525NYFD,"DIXON FM2525NYFD 2.5\ FNPT X 2.5\"" MNYFD BR NEX NIP""",
2071412,FM2525NYC,"DIXON FM2525NYC 2-1/2\ FNPT X 2-1/2\"" MNYC BRASS HEX NIPPLE""",
2071408,FM20S15T,"DIXON FM20S15T 2\ F NPSH X 1.5\"" M NPT HEX NIPPLE-BRASS""",
2071405,FM15S20T,"DIXON FM15S20T 1.5\ FNPSH X 2\"" M NPT HEX NIPPLE-BRASS""",
2071402,FM15NYFD15T,"DIXON FM15NYFD15T 1.5\ FNYFD X 1.5\"" MNPT BR HEX NIP""",
2071401,FM15NYFD15F,"DIXON FM15NYFD15F 1.5\ FNYFD X 1.5\"" MNST BR HEX NIP""",
2071398,FM15F15S-D,DIXON FM15F15S-D BRASS HEX 1.5 FNST X 1.5 MNPSH DOMESTIC,
2071397,FM15F15NYFD,"DIXON FM15F15NYFD 1.5\ FNST X 1.5\"" MNYFD BR HEX NIP""",
2071394,FM1515NYFD,"DIXON FM1515NYFD 1-1/2\ FNPT X 1-1/2\"" MNYFD BR HEX""",
2071389,FLC2603-20,"DIXON FLC2603-20 1 1/4\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071388,FLC2603-16,"DIXON FLC2603-16 1\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071387,FLC2603-12,"DIXON FLC2603-12 3/4\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071386,FLC2603-10,"DIXON FLC2603-10 5/8\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071385,FLC2603-08,"DIXON FLC2603-08 1/2\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071384,FLC2603-06,"DIXON FLC2603-06 3/8\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071383,FLC2603-05,"DIXON FLC2603-05 5/16\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071382,FLC2603-04,"DIXON FLC2603-04 1/4\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071381,FLC2603-03,"DIXON FLC2603-03 3/16\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071380,FLC2603-02,"DIXON FLC2603-02 1/8\ Male Tube OD Union Tee Steel Flareless Bite Fitting""",
2071379,FLC2501-24,"DIXON FLC2501-24 1 1/2\ Male Tube OD x 1 1/2\"" MNPTF Steel Adapter 90 Degree Elbow""",
2071378,FLC2501-20,"DIXON FLC2501-20 1 1/4\ Male Tube OD x 1 1/4\"" MNPTF Steel Adapter 90 Degree Elbow""",
2071377,FLC2501-16-12,"DIXON FLC2501-16-12 1\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071376,FLC2501-16,"DIXON FLC2501-16 1\ Male Tube OD x 1\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071375,FLC2501-12-08,"DIXON FLC2501-12-08 3/4\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071374,FLC2501-12,"DIXON FLC2501-12 3/4\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071373,FLC2501-10-08,"DIXON FLC2501-10-08 5/8\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071372,FLC2501-10-06,"DIXON FLC2501-10-06 5/8\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071371,FLC2501-08-12,"DIXON FLC2501-08-12 1/2\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071370,FLC2501-08-06,"DIXON FLC2501-08-06 1/2\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071369,FLC2501-08-04,"DIXON FLC2501-08-04 1/2\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071368,FLC2501-08,"DIXON FLC2501-08 1/2\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071367,FLC2501-06-08,"DIXON FLC2501-06-08 3/8\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071366,FLC2501-06-04,"DIXON FLC2501-06-04 3/8\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071365,FLC2501-06-02,"DIXON FLC2501-06-02 3/8\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071364,FLC2501-06,"DIXON FLC2501-06 3/8\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071363,FLC2501-05-04,"DIXON FLC2501-05-04 5/16\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071362,FLC2501-05-02,"DIXON FLC2501-05-02 5/16\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071361,FLC2501-04-06,"DIXON FLC2501-04-06 1/4\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071360,FLC2501-04-02,"DIXON FLC2501-04-02 1/4\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071359,FLC2501-04,"DIXON FLC2501-04 1/4\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071358,FLC2501-03-02,"DIXON FLC2501-03-02 3/16\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071357,FLC2501-02,"DIXON FLC2501-02 1/8\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter 90 Degree Elbow""",
2071356,FLC2500-20,"DIXON FLC2500-20 1 1/4\ Male Tube OD Union 90 Deg Steel Elbow Flareless Bite Fitting""",
2071355,FLC2500-16,"DIXON FLC2500-16 1\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071354,FLC2500-12,"DIXON FLC2500-12 3/4\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071353,FLC2500-10,"DIXON FLC2500-10 5/8\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071352,FLC2500-08,"DIXON FLC2500-08 1/2\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071351,FLC2500-06,"DIXON FLC2500-06 3/8\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071350,FLC2500-05,"DIXON FLC2500-05 5/16\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071349,FLC2500-04,"DIXON FLC2500-04 1/4\ Male Tube OD Union 90 Degree Steel Elbow Flareless Bite Fitting""",
2071348,FLC2405-20,"DIXON FLC2405-20 1 1/4\ Male Tube OD x 1 1/4\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071347,FLC2405-16,"DIXON FLC2405-16 1\ Male Tube OD x 1\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071346,FLC2405-12,"DIXON FLC2405-12 3/4\ Male Tube OD x 3/4\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071345,FLC2405-10-08,"DIXON FLC2405-10-08 5/8\ Male Tube OD x 1/2\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071344,FLC2405-08-06,"DIXON FLC2405-08-06 1/2\ Male Tube OD x 3/8\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071343,FLC2405-08-04,"DIXON FLC2405-08-04 1/2\ Male Tube OD x 1/4\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071342,FLC2405-08,"DIXON FLC2405-08 1/2\ Male Tube OD x 1/2\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071341,FLC2405-06-04,"DIXON FLC2405-06-04 3/8\ Male Tube OD x 1/4\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071340,FLC2405-06,"DIXON FLC2405-06 3/8\ Male Tube OD x 3/8\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071339,FLC2405-05-02,"DIXON FLC2405-05-02 5/16\ Male Tube OD x 1/8\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071338,FLC2405-04-02,"DIXON FLC2405-04-02 1/4\ Male Tube OD x 1/8\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071337,FLC2405-04,"DIXON FLC2405-04 1/4\ Male Tube OD x 1/4\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071336,FLC2405-02,"DIXON FLC2405-02 1/8\ Male Tube OD x 1/8\"" FNPTF Steel Adapter Flareless Bite Ftg""",
2071335,FLC2404-24,"DIXON FLC2404-24 1 1/2\ Male Tube OD x 1 1/2\"" MNPTF Steel Adapter Flareless Bite Ftg""",
2071334,FLC2404-20-12,"DIXON FLC2404-20-12 1 1/4\ Male Tube OD x 3/4\"" MNPTF Steel Adapter Flareless Bite Ftg""",
2071333,FLC2404-20,"DIXON FLC2404-20 1 1/4\ Male Tube OD x 1 1/4\"" MNPTF Steel Adapter Flareless Bite Ftg""",
2071332,FLC2404-16-20,"DIXON FLC2404-16-20 1\ Male Tube OD x 1 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071331,FLC2404-16-12,"DIXON FLC2404-16-12 1\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071330,FLC2404-16,"DIXON FLC2404-16 1\ Male Tube OD x 1\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071329,FLC2404-12-16,"DIXON FLC2404-12-16 3/4\ Male Tube OD x 1\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071328,FLC2404-12-08,"DIXON FLC2404-12-08 3/4\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071327,FLC2404-12,"DIXON FLC2404-12 3/4\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071326,FLC2404-10-12,"DIXON FLC2404-10-12 5/8\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071325,FLC2404-10-08,"DIXON FLC2404-10-08 5/8\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071324,FLC2404-10-06,"DIXON FLC2404-10-06 5/8\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071323,FLC2404-08-12,"DIXON FLC2404-08-12 1/2\ Male Tube OD x 3/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071322,FLC2404-08-06,"DIXON FLC2404-08-06 1/2\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071321,FLC2404-08-04,"DIXON FLC2404-08-04 1/2\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071320,FLC2404-08,"DIXON FLC2404-08 1/2\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071319,FLC2404-06-08,"DIXON FLC2404-06-08 3/8\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071318,FLC2404-06-04,"DIXON FLC2404-06-04 3/8\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071317,FLC2404-06-02,"DIXON FLC2404-06-02 3/8\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071316,FLC2404-06,"DIXON FLC2404-06 3/8\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071315,FLC2404-05-04,"DIXON FLC2404-05-04 5/16\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071314,FLC2404-05-02,"DIXON FLC2404-05-02 5/16\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071313,FLC2404-04-08,"DIXON FLC2404-04-08 1/4\ Male Tube OD x 1/2\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071312,FLC2404-04-06,"DIXON FLC2404-04-06 1/4\ Male Tube OD x 3/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071311,FLC2404-04-02,"DIXON FLC2404-04-02 1/4\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071310,FLC2404-04,"DIXON FLC2404-04 1/4\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071309,FLC2404-03-02,"DIXON FLC2404-03-02 3/16\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071308,FLC2404-02-04,"DIXON FLC2404-02-04 1/8\ Male Tube OD x 1/4\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071307,FLC2404-02,"DIXON FLC2404-02 1/8\ Male Tube OD x 1/8\"" Male NPTF Steel Adapter Flareless Bite Ftg""",
2071306,FLC2403-24,"DIXON FLC2403-24 1 1/2\ Tube OD Steel Union Flareless Bite Fitting""",
2071305,FLC2403-20,"DIXON FLC2403-20 1 1/4\ Tube OD Steel Union Flareless Bite Fitting""",
2071304,FLC2403-16,"DIXON FLC2403-16 1\ Tube OD Steel Union Flareless Bite Fitting""",
2071303,FLC2403-12,"DIXON FLC2403-12 3/4\ Tube OD Steel Union Flareless Bite Fitting""",
2071302,FLC2403-10,"DIXON FLC2403-10 5/8\ Tube OD Steel Union Flareless Bite Fitting""",
2071301,FLC2403-08,"DIXON FLC2403-08 1/2\ Tube OD Steel Union Flareless Bite Fitting""",
2071300,FLC2403-06,"DIXON FLC2403-06 3/8\ Tube OD Steel Union Flareless Bite Fitting""",
2071299,FLC2403-05,"DIXON FLC2403-05 5/16\ Tube OD Steel Union Flareless Bite Fitting""",
2071298,FLC2403-04,"DIXON FLC2403-04 1/4\ Tube OD Steel Union Flareless Bite Fitting""",
2071297,FLC2403-03,"DIXON FLC2403-03 3/16\ Tube OD Steel Union Flareless Bite Fitting""",
2071296,FLC2403-02,"DIXON FLC2403-02 1/8\ Tube OD Steel Union Flareless Bite Fitting""",
2071295,FLC2402-12-12,"DIXON FLC2402-12-12 3/4\ Tube X 1 1/16\"" M JIC""",
2071294,FLC2402-08-08,"DIXON FLC2402-08-08 1/2\ Tube X 3/4\"" M JIC""",
2071293,FLC2402-06-06,"DIXON FLC2402-06-06 3/8\ Tube X 9/16\"" M JIC""",
2071292,FLC2402-04-04,DIXON FLC2402-04-04 Male Tube X Male JIC (SAE 37 ),
2071291,FLC0319-24,"DIXON FLC0319-24 1 1/2\ Tube OD Steel Ferrule""",
2071290,FLC0319-20,"DIXON FLC0319-20 1 1/4\ Tube OD Steel Ferrule""",
2071289,FLC0319-16,"DIXON FLC0319-16 1\ Tube OD Steel Ferrule""",
2071288,FLC0319-12,"DIXON FLC0319-12 3/4\ Tube OD Steel Ferrule""",
2071287,FLC0319-10,"DIXON FLC0319-10 5/8\ Tube OD Steel Ferrule""",
2071286,FLC0319-08,"DIXON FLC0319-08 1/2\ Tube OD Steel Ferrule""",
2071285,FLC0319-06,"DIXON FLC0319-06 3/8\ Tube OD Steel Ferrule""",
2071284,FLC0319-05,"DIXON FLC0319-05 5/16\ Tube OD Steel Ferrule""",
2071283,FLC0319-04,"DIXON FLC0319-04 1/4\ Tube OD Steel Ferrule""",
2071282,FLC0319-03,"DIXON FLC0319-03 3/16\ Tube OD Steel Ferrule""",
2071263,FFH2525NYFD,"DIXON FFH2525NYFD 2.5\ FNPT X 2.5\"" FNYFD DBL F HEX""",
2071262,FFH15T15S,"DIXON FFH15T15S 1.5\ FNPT X 1.5\"" F NPSH HEX NIPPLE BRASS""",
2071261,FFH15NYFD15NYFD,"DIXON FFH15NYFD15NYFD 1.5\ FNYFD X 1.5\"" FNYFD DBL F HEX""",
2071260,FFH1515NYFD,"DIXON FFH1515NYFD 1.5\ FNPT X 1.5\"" FNYFD DBL F HEX""",
2071251,FAPRAVG250G,"DIXON FAPRAVG250G 2-1/2\ GROOVE X 2-1/2\"" GROOVE ANGLE FIELD ADJ PRES VALVE BRASS""",
2071250,FAPRAVG250F,"DIXON FAPRAVG250F 2-1/2\ Groove x 2.5\"" MNST Field Adj PRESSURE REGULATING ANGLE VALVE BR""",
2071249,FAPRAVF250,"DIXON FAPRAVF250 2-1/2\ FNPT X 2-1/2\"" FNPT FIELD ADJ PRES RED ANGLE VALVE - BRASS""",
2071248,FAPRAV250F,"DIXON FAPRAV250F 2-1/2\ FNPT X 2-1/2\"" MNH FIELD ADJ PRES RED ANGLE VALVE-BRASS""",
2071244,F23-04M,"DIXON F23-04M 1/2\ EXHAUST MUFFLER TRANSPARENT BOWL W/GUARD MANUAL DRAIN""",
2071239,E16F16-S,"DIXON E16F16-S 2\ 303SS Straight Thru Plug FNPT""",
2071238,E16F16-B,"DIXON E16F16-B 2\ Brass Straight Thru Plug FNPT""",
2071236,E12F12-S,"DIXON E12F12-S 1 1/2\ 303SS Straight Thru Plug FNPT""",
2071233,E10F10-S,"DIXON E10F10-S 1 1/4\ 303SS Straight Thru Plug FNPT""",
2071231,DW2503,"DIXON DW2503 1/2\ PLTD STL ELECTRONIC TORQUE WRENCH 36 TOOTH 250 FT LB""",
2071230,DW2501,"DIXON DW2501 1/4\ PLTD STL ELECTRONIC TORQUE WRENCH 36 TOOTH 250 IN LB""",
2071229,DW1002,"DIXON DW1002 3/8\ PLTD STL ELECTRONIC TORQUE WRENCH 36 TOOTH 100 FT LB""",
2071228,DTW300,DIXON DTW300 3-1/8 ID X 3 25/32 OD X 1/4 THK DJ TAIL WASHER,
2071227,DRC-2,"DIXON DRC-2 1/8\ Tube OD 316SS Rear Ferrule""",
2071226,DRC-16,"DIXON DRC-16 1\ Tube OD 316SS Rear Ferrule""",
2071225,DRC-12,"DIXON DRC-12 3/4\ Tube OD 316SS Rear Ferrule""",
2071224,DRC-10,"DIXON DRC-10 5/8\ Tube OD 316SS Rear Ferrule""",
2071223,DNOG6RB,DIXON DNOG6RB REBUILT FUELER 100TM NOZZLE,
2071222,DN-16,"DIXON DN-16 1\ Tube OD 316SS Nut""",
2071221,DN-12,"DIXON DN-12 3/4\ Tube OD 316SS Nut""",
